id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
1242	vadelma	raspberry	fruit	noun	vadelma		raspberry	raspberry	RASPBERRY_object	raspberry	vadelma	raspberry			0	
1251	järki	reason	abstract_high	noun	järki	järki					järki	reason			0	
1256	uskonto	religion	abstract_high	noun	uskonto						uskonto	religion			0	
1260	maine	reputation	abstract_high	noun	maine	maine					maine	reputation			0	
1268	arvio	review	abstract_high	noun	arvio	arvio					arvio	review			0	
1277	sormus	ring	clothing	noun	sormus	sormus	ring_(jewellery)	ring_(jewelry)		ring	sormus	ring			0	
1279	joki	river	nature	noun	joki	joki				river	joki	river			0	
1285	kallio	rock	nature	noun	kallio	kallio	rock	rock		rock	kallio	rock			0	
1294	huone	room	building	noun	huone					room	huone	room			0	
1316	satelliitti	satellite	vehicle	noun	satelliitti					satellite	satelliitti	satellite			0	
1321	saha	saw	tool	noun	saha	saha	saw		SAW_object	saw	saha	saws	sahata	SAW_actionV	0	noun & verb
1330	huivi	scarf	clothing	noun	huivi		scarf	scarf	SCARF_object	scarf	huivi	scarf			0	
1331	koulu	school	building	noun	koulu					school	koulu	school			0	
1332	tiede	science	abstract_high	noun	tiede						tiede	science			0	
1333	sakset	scissors	tool	noun	sakset	sakset	scissors	scissors	SCISSORS_object	scissors	sakset	scissors			0	
1343	meri	sea	nature	noun	meri	meri				sea	meri	sea			0	
1364	lammas	sheep	animal	noun	lammas	lammas	sheep	sheep	SHEEP_object	sheep	lammas	sheep			0	
1370	laiva	ship	vehicle	noun	laiva	laiva	ship	ship	SHIP_object	ship	laiva	ship			0	
1371	paita	shirt	clothing	noun	paita		shirt	shirt	SHIRT_object	shirt	paita	shirt			0	
1372	kenkä	shoe	clothing	noun	kenkä		shoes	shoes	SHOE_object	shoe	kenkä	shoe			0	
1380	lapio	shovel	tool	noun	lapio	lapio	shovel	shovel	SHOVEL_object	shovel	lapio	shovel	lapioida	SHOVEL_actionV	0	noun & verb
1391	koko	size	abstract_mid	noun	koko	koko					koko	size			0	
1398	hame	skirt	clothing	noun	hame		skirt	skirt	SKIRT_object	skirt	hame	skirt			0	
1427	sukka	sock	clothing	noun	sukka		sock	socks	SOCK_object	sock	sukka	sock			0	
1431	sotilas	soldier	human	noun	sotilas	sotilas					sotilas	soldier			0	
1432	laulu	song	abstract_mid	noun	laulu	laulu					laulu	song			0	
1433	noki	soot	nature	noun	noki						noki	soot			0	
1443	puhe	speech	abstract_mid	noun	puhe	puhe					puhe	speech			0	
1452	lusikka	spoon	tool	noun	lusikka	lusikka	spoon	spoon	SPOON_object	spoon	lusikka	spoon			0	
1455	talli	stable	building	noun	talli					stable	talli	stable			0	
1461	tähti	star	nature	noun	tähti					star	tähti	star			0	
