eng_name	fin_name	category	word_class
slipper	aamutossu	clothing	noun
slug	etana	insect	noun
snail	etana	insect	noun
sock	sukka	clothing	noun
sofa	sohva	furniture	noun
soup	keitto	food	noun
spade	puutarhalapio	tool	noun
spanner	kiintoavain	tool	noun
sparrow	varpunen	bird	noun
spatula	lasta	tool	noun
spear	keihäs	weapon	noun
speedboat	pikavene	vehicle	noun
spider	hämähäkki	insect	noun
spinach	pinaatti	vegetable	noun
spirit	sielu	abstract_high	noun
spoon	lusikka	tool	noun
squid	kalmari	waterlife	noun
squirrel	orava	animal	noun
starling	kottarainen	bird	noun
stick	keppi	nature	noun
stick_insect	sauvasirkka	insect	noun
stocking	sukkahousut	clothing	noun
stone	kivi	nature	noun
stool	jakkara	furniture	noun
stove	hella	appliance	noun
strainer	sihti	tool	noun
strawberry	mansikka	fruit	noun
submarine	sukellusvene	vehicle	noun
sugar	sokeri	food	noun
suit	puku	clothing	noun
sultana	sultaanirusina	food	noun
sunflower	auringonkukka	plant	noun
surfboard	lainelauta	sport	noun
swan	joutsen	bird	noun
sweater	villapaita	clothing	noun
sweet_potato	bataatti	vegetable	noun
swimsuit	uimapuku	clothing	noun
swing	heilautus	action	verb
sword	miekka	tool	noun
sycamore	sykomoriviikunapuu	plant	noun
syringe	ruisku	medicine	noun
table	pöytä	furniture	noun
tambourine	tamburiini	instrument	noun
tangerine	tangeriini	fruit	noun
tank	tankki	weapon	noun
tape	teippi	tool	noun
tarantula	tarantella	insect	noun
taxi	taksi	vehicle	noun
tea	tee	drink	noun
telephone	puhelin	appliance	noun
television	televisio	appliance	noun
tent	teltta	place	noun
termite	termiitti	insect	noun
textbook	oppikirja	text	noun
thermometer	kuumemittari	appliance	noun
thimble	sormustin	tool	noun
throne	valtaistuin	furniture	noun
thumb	peukalo	bodypart	noun
tiger	tiikeri	animal	noun
tights	legginsit	clothing	noun
tire	rengas	artifact	noun
toad	rupikonna	animal	noun
toaster	leivänpaahdin	appliance	noun
tobacco	tupakka	food	noun
toe	varvas	bodypart	noun
toilet	vessa	place	noun
tomato	tomaatti	vegetable	noun
tongs	hohtimet	tool	noun
tongue	kieli	bodypart	noun
tortoise	kilpikonna	animal	noun
tractor	traktori	vehicle	noun
train	juna	vehicle	noun
tray	tarjotin	tool	noun
tricycle	kolmipyöräinen	vehicle	noun
tripod	tripodi	tool	noun
trolley	kärryt	vehicle	noun
trombone	pasuuna	instrument	noun
trousers	housut	clothing	noun
trout	taimen	waterlife	noun
trowel	laastilapio	tool	noun
truck	rekka	vehicle	noun
trumpet	trumpetti	instrument	noun
tuba	tuuba	instrument	noun
tugboat	hinaaja	vehicle	noun
tulip	tulppaani	plant	noun
tuna	tonnikala	waterlife	noun
tunnel	tunneli	place	noun
turnip	nauris	vegetable	noun
turtle	merikilpikonna	animal	noun
tweezers	pinsetit	tool	noun
typewriter	kirjoituskone	appliance	noun
umbrella	sateenvarjo	artifact	noun
unicycle	yksipyöräinen	vehicle	noun
valium	valium	medicine	noun
van	pakettiauto	vehicle	noun
veil	huntu	clothing	noun
violin	viulu	instrument	noun
wallet	lompakko	accessory	noun
walrus	mursu	animal	noun
wand	sauva	tool	noun
washing machine	pesukone	furniture	noun
wasp	ampiainen	insect	noun
watch	rannekello	accessory	noun
watermelon	vesimeloni	fruit	noun
wetsuit	märkäpuku	clothing	noun
whale	valas	waterlife	noun
wheel	pyörä	tool	noun
wheelbarrow	kottikärryt	vehicle	noun
wheelchair	pyörätuoli	vehicle	noun
whip	piiska	tool	noun
whisk	vispilä	tool	noun
whisky	viski	drink	noun
whistle	pilli	instrument	noun
willow	paju	plant	noun
window	ikkuna	furniture	noun
wine	viini	drink	noun
wolf	susi	animal	noun
woodpecker	tikka	bird	noun
worm	mato	insect	noun
wren	peukaloinen	bird	noun
yacht	huvialus	vehicle	noun
yogurt	jogurtti	food	noun
yoyo	jojo	sport	noun
zebra	seepra	animal	noun
