id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1018	pihdit	pliers	tool	noun	pihdit		pliers	pliers	PLIERS_object	pliers	pihdit	pliers			
1019	lumiaura	plough	vehicle	noun			plough				lumi#aura	plow			
1020	pistoke	plug	tool	noun				plug_(electric)		plug	pistoke	plug			
1021	luumu	plum	fruit	noun			plum	plum		plum	luumu	plum			
1022	tasku	pocket	clothing	noun						pocket	tasku	pocket			
1023	taskukirja	pocketbook	text	noun						pocketbook	tasku#kirja	pocketbook			
1024	runo	poem	text	noun	runo	runo					runo	poem			
1025	myrkky	poison	medicine	noun			poison			poison	myrkky	poison			
1026	tanko	pole	artifact	noun						pole	tanko	pole			
1027	poliisi	police	person	noun	poliisi	poliisi					poliisi	police			
1028	politiikka	politics	abstract	noun	politiikka						politiikka	politics			
1029	siitepöly	pollen	nature	noun						pollen	siitepöly	pollen			
1030	lampi	pond	nature	noun						pond	lampi	pond			
1031	poni	pony	animal	noun			pony	pony		pony	poni	pony			
1032	uima-allas	pool	place	noun						pool	uima#allas	pool			
1033	popcorn	popcorn	food	noun						popcorn	popcorn	popcorn			
1034	unikko	poppy	plant	noun			poppy				unikko	poppy			
1035	väestö	population	abstract	noun	väestö						väestö	population			
1036	piikkisika	porcupine	animal	noun			porcupine	porcupine			piikki#sika	porcupine			
1037	porsche	porsche	vehicle	noun			porsche				porsche	porsche			
1038	juliste	poster	text	noun						poster	juliste	poster			
1039	ruukku	pot	container	noun				pot		pot	ruukku	pot			
1040	peruna	potato	vegetable	noun	peruna		potato	potato	POTATO_object	potato	peruna	potato			
1041	montut	potholes	nature	noun						potholes	monttu	potholes			
1042	hakata	pound	action	verb					POUND_actionV		hakata	pound			
1043	jauhe	powder	material	noun						powder	jauhe	powder			
1044	teho	power	abstract	noun	teho	teho					teho	power			
1045	valta	power	abstract	noun	valta	valta					valta	reign			
1046	lastenvaunu	pram	vehicle	noun			pram				rattaat	pram			
1048	painaa	press	action	verb					PRESS_actionV		painaa	press			
1049	paine	pressure	abstract	noun	paine	paine					paine	pressure			
1050	hinta	price	abstract	noun	hinta	hinta					hinta	price			
1051	pappi	priest	person	noun	pappi	pappi					pappi	priest			
1052	prinsessa	princess	person	noun	prinsessa						prinsessa	princess			
1053	vanki	prisoner	person	noun	vanki	vanki					vanki	prisoner			
1054	ongelma	problem	abstract	noun	ongelma	ongelma					ongelma	problem			
1055	professori	professor	person	noun	professori					projector	professori	professor			
1056	projektori	projector	appliance	noun			projector	projector			projektori	projector			
1057	ylennys	promotion	abstract	noun	ylennys						ylennys	promotion			
1058	propelli	propeller	appliance	noun						propeller	propelli	propeller			
1060	jälkiruoka	vanukas	food	noun						pudding	vanukas	pudding			
1061	lätäkkö	puddle	nature	noun						puddle	lätäkkö	puddle			
1062	kurpitsa	pumpkin	vegetable	noun	kurpitsa		pumpkin	pumpkin	PUMPKIN_object	pumpkin	kurpitsa	pumpkin			
1063	oppilas	pupil	person	noun						pupil	oppilas	pupil			
1065	koiranpentu	puppy	animal	noun						puppy	koiran#pentu	puppy			
1066	kukkaro	purse	accessory	noun						purse	kukkaro	purse			
1067	pyjama	pyjamas	clothing	noun			pyjamas	pajamas			pyjama	pajamas			
1068	pyramidi	pyramid	place	noun			pyramid	pyramid			pyramidi	pyramid			
1069	pytonkäärme	python	animal	noun				python			pyton	python			
1070	määrä	quantity	abstract	noun	määrä	määrä					määrä	quantity			
1071	vartti	quart	abstract	noun						quart	vartti	quart			
1072	neljäsosa	quarter	abstract	noun						quarter	neljäsosa	quarter			
1073	täkki	quilt	clothing	noun						quilt	täkki	quilt			
1074	kani	rabbit	animal	noun	kani		rabbit	rabbit	RABBIT_object	rabbit	kani	rabbit			
1075	pesukarhu	raccoon	animal	noun			raccoon	raccoon		raccoon	pesu#karhu	raccoon			
1076	ravirata	racetrack	place	noun						racetrack	ravi#rata	racetrack			
1077	maila	racket	sport	noun				racket		racket	maila	racket			
1079	radio	radio	appliance	noun			radio	radio		radio	radio	radio			
1080	retiisi	radish	vegetable	noun			radish	radish			retiisi	radish			
1081	lautta	raft	vehicle	noun			raft	raft	RAFT_object		lautta	raft			
1082	rautatie	railroad	place	noun						railroad	rauta#tie	railroad			
1083	sadepisarat	raindrops	nature	noun						raindrops	sade#pisara	raindrops			
